query,doc,label
sci.electronics,"        I'm glad to see this idea come up because I've had something similar in mind. What if you had an authorization key that computed from the name and address  data.  When the user registers, you don't even need to send executable code,  just compute his/her key and send him/her instructions to enter in the  appropriate place the following:  Name=Joe Doe Address=123 Main Street City=Anytown, CA key=ldslfoialsdkcdsngsikhsfd",1
sci.electronics,"Add Mike Trombley in there somewhere, since they need five people.  Mark Guthrie will remain in the bullpen as the long lefty.  Pags and Terry Jorgenson will platoon at third, with Reboulet as the backup infielder.  Pags looked pretty miserable yesterday for a guy who lead the league in DA in 1991, muffing what should be routine grounders (heck, muffing a grounder *I* would probably have gotten to).  Jorgenson did nothing exceptional that I noticed.  Leius missed a ball I *think* Gagne would have reached; we will certainly miss Gag's glove this season.  He looked pretty good there.  Contrary to what the mediots have been saying, he looked reasonable at first.  He isn't mid-80s Hrbek, but then neither is the Pretty Big Guy himself any more (note:  I'm used to seeing the Twins 1B looking kinda big on the field, but not that big!).  If he hits vaguely like last year, he's a perfectly good first baseman.  Note:  Much of this posting is from personal observation yesterday in a game where the regulars were mostly pulled after several innings.  Winfield may have big holes in his defensive game that didn't show up (he didn't have to pick any bad throws, for example), but I'll take what I saw so far.",0
alt.atheism,"  For the last time, Bobby. Lack of belief in YOUR god does NOT imply atheism. Just because some moslems aren't moral does not mean they don't believe in a god named Allah, although their Allah may not do the things your Allah does. If a moslem says he/she believes that a god exists, he/she is a theist (though maybe not a TRUE follower of islam).    Jerk. ",1
alt.atheism,If you think that kind of uncalled for blanket statement will cause censorship at Mr. Jefferson's university you are wrong. ,0
comp.graphics," I certainly do use it whenever I have to do TIFF, and it usually works very well.  That's not my point.  I'm >philosophically< opposed to it because of its complexity.  This complexity has led to some programs' poor TIFF writers making some very bizarre files, other programs' inability to load TIFF images (though they'll save them, of course), and a general inability to interchange images between different environments despite the fact they all think they understand TIFF.  As the saying goes, ""It's not me I'm worried about- it's all the abuse of TIFF over the years, and I chalk it all up to the immense (and unnecessary) complexity of the format.  In the words of the TIFF 5.0 spec, Appendix G, page G-1 (capitalized emphasis mine):  ""The only problem with this sort of success is that TIFF was designed to be powerful and flexible, at the expense of simplicity.  It takes a fair amount of effort to handle all the options currently defined in this specification (PROBABLY NO APPLICATION DOES A COMPLETE JOB), and that is currently the only way you can be >sure< that you will be able to import any TIFF image, since there are so many image-generating applications out there now.""   If a program (or worse all applications) can't read >every< TIFF image, that means there are some it won't- some that I might have to deal with.  Why would I want my images to be trapped in that format?  I don't and neither should anyone who agrees with my reasoning- not that anyone does, of course! :-)",1
comp.graphics,"Hey folks.  Is it possible to short out your CMOS chip?  I think mine is fried. These are the symptoms...  I have to do the following to get my computer (a Gateway 486DX33) to boot...      Turn the power off      Disconnect the battery to the CMOS chip      Turn the power on      Get into setup upon getting the CMOS configuration error      Set up the CMOS      Exit the setup with [F10]  (phoenix bios)      Ignore the diskette 0 seek error and press [F1]  The computer then boots normally.  Both hard drives are accessible but the floppy drives are not.  I can back up over the network and such, but if I need to reboot, I have to turn off the computer and repeat the steps above.  If I simply <Ctl>-<Alt>-<Del>, the computer hangs after the memory test.  Does this sound like the CMOS chip is fried?  Can I buy another one? Where?  Thank you for your kind attention.  john",0
talk.politics.guns," Is the license required for driving a car exclusively on private property, such as a farm? Here in the United States, the license is required only for the use of public roads.   We also have a nation of 250 million people, _many_ issues and usually only two candidates for a given office. A President might be willing to abuse mild gun control laws and create a de-facto ban (something a majority of the people would object to) and still be elected: The voters might look at issues like the civil rights of minorities, health care, etc... and vote for the ""lesser of two evils."" I don't think this is a matter of paranoia, since local governments in (for example) New York and Chicago have abused existing, mild gun control laws to  create a virtual ban.   In which case, the United States already has adaquate gun control laws: According to federal statistic, only 7% of gun-wielding criminals legally purchase their own guns from licensed dealers. If that's the point of gun control (to prevent criminals from legally purchasing guns) then America doesn't need any additional laws to accomplish this.   How is this any different from guns? There are legal purposes for owning and using a gun: They are appropriate tools for hunting, target shooting and self-defence. Like cars, murder isn't their only (or even a common) use.   I certainly couldn't imagine the American public accepting regulation of axes. While the politics of other nations may be different, in America there is strong opposition to any intrusive law that primarily would effect the average, law-abiding citizen who had not done anything wrong.   A good way to deal with which problem? It is an excelent way to deal  with the short-term problem of rioting and violent attacks. Of course, it doesn't do anything for the long-term issues that start riots. But at this point, what can these individuals do about long-term social problems?    There are, according to surveys, guns in 40% of American homes. In many parts of the country, this is closer to 100%. Those places where almost everyone owns a gun are, on average, safer than those where guns are less common.   This is, I think, a fundamental difference between American government and that of other nations. Here it is not acceptable to punish or restrict the average, law-abiding citizen in the name of some vague ""common good."" ",1
talk.politics.guns," Oh? What about the precedent in which nuclear weapons information was published in ""The Progressive""? I was under the impression that the court held that prior restraint could NOT be used. Any lawyers out there?  -- Perry Metzger		pmetzger@shearson.com",0
comp.sys.mac.hardware,There seems to be a P PDS slot in the above printers. What is it ?   ,1
comp.sys.mac.hardware,"  First of all, ""ceremonial law"" is an extraScriptural term.  It is sometimes used as a framework to view Scripture.  But if you look at Collosions, without going into it with the assumption that the Sabbath cannot be  a ceremonial law, you will see that it does refer to the sabbath.  against us to His cross, and therefore we should not be judged in what what food we eat, what we drink, the keeping of new moons and holy days, or the keeping of the sabbath.  The word for sabbath in this verse is ""sabbaton"" and is used throughout the New Testament to refer to the 7th day.  If there is any Scripture from which we get the idea of the ceremonial law, this is one of them, and the sabbath is listed among the ceremonial laws.  If one goes into this with the fundamental assumption ""the sabbath cannot be a ceremonial law"" then he will have to find some way around it, like saying that this can only refer to the other sabbath holy days besides the 7tH day, Because ""the sabbath cannot be a ceremonial law.""  But Paul is very careful in his letters to add some kind of parenthetcal  statement if there is anything that can be seen as a liscence to sin in his writings.  Also, why is the sabbath absent from the epistles (except for Hebrews 4, which talks about the rest that comes through faith?)  Surely it would have been a big problem for first century Christians living in a society that did not rest on the 7th day.  Especially slaves. Many new converst were slaves.  It would have been difficult for slaves to rest on the sabbath if it had been mandatory.  Why is there no mention of this in the epistles?",0
sci.space,"If gamma ray bursters are extragalactic, would absorption from the galaxy be expected?  How transparent is the galactic core to gamma rays?  How much energy does a burster put out?  I know energy depends on distance, which is unknown.  An answer of the form _X_ ergs per megaparsec^2 is OK.  ",1
sci.space,"  Any state that the CIA does not control is called ""state that is linked to terrorism/militants/fundamentalists etc.."" Meanwhile Even Egyptian ""experts"" who hate The Islamic movement admit that what is happening in Egypt is spontaneous and most of the time a reaction to what the government does.  ...  Can anybody see any contradiction between the above and the first paragraph?  Does anybody know what the UPI original article's title was?",0
misc.forsale,"============================================================================= NOTE: This is being posted for a friend. DO NOT REPLY to my account. Please        direct all replies to Scott Burke at scott@sparcom.com =============================================================================  Alpine 5959S 6-CD Shuttle.  Paid $600, want $420/OBO. Alpine 1203 Remote CD Changer Control.  Paid $250, want $175/OBO. Boston ProSeries 10.0 Subwoofers (2) + Box.  Paid $545, want $380/OBO.  All equipment is under 6 months old and includes a full-replacement 5-year warranty from original point of purchase.  The subwoofer box was custom designed to fit in the back of a Bronco II and is 14"" by 21"" by 27"".  Send replies to: scott@sparcom.com  ----- Scott Burke - Project Leader - Sparcom Corporation - Corvallis OR scott@sparcom.com - Telephone (503) 757-8416 - FAX (503) 753-7821   --  ------------------------------------------------------------------------------                      ""Just waiting for the nuts...""              Brett Barksdale        brett@porky.oce.orst.edu",1
misc.forsale,"Build 59 causes 2 exceptions when I exit Windows. In fact, I have had this happen on all builds after 44, which shipped with my Gateway system.  Am I doing something wrong, or is this problem commonly overlooked?",0
sci.electronics,"First you find a congenial member of the opposite sex ... -- Thomas Clarke Institute for Simulation and Training, University of Central FL 12424 Research Parkway, Suite 300, Orlando, FL 32826 (407)658-5030, FAX: (407)658-5059, clarke@acme.ucf.edu",1
sci.electronics,"      There is no such thing as ""completely secure,"" especially when dealing with High Technology. It's all a question of cost: what cost are you willing to bear to protect your information vs. what rewards the ""bad guys"" are going to get if they break it. The rewards of breaking such a single ID system would be high indeed.",0
sci.space,"If gamma ray bursters are extragalactic, would absorption from the galaxy be expected?  How transparent is the galactic core to gamma rays?  How much energy does a burster put out?  I know energy depends on distance, which is unknown.  An answer of the form _X_ ergs per megaparsec^2 is OK.  ",1
sci.space," David,    While I disagree strongly with you on the issue of our trusting the government, I think you have a good idea here. There is danger that, with funding coming from asset forfeitures, the government could continue to promulgate a bad product in spite of poor acceptance. Making the product pay its way (as it must for private ventures) would be a good incentive for quality and listening to we, the ranters. :)    -mel",0
sci.crypt," 	While I think it is unrealistic to suppose that the federal agencies will fail to promptly comply with a court order, there is  still a good point here.  Local law enforcement will be unable to perform a wiretap without bringing in federal agencies.   Based on the (possibly incomplete) understanding of the system quoted from D. Denning, only the FBI will be able to decrypt the system key encryption layer, which seems to be needed even to identify what escrowed keys to request.  This moves a great deal of law enforcement power to the federal level. 	The reason I like this point is that it may sway or even persuade people who don't generally line up with the civil liberties crowd.  A national police force is opposed by people from a broad range of political  viewpoints. ",1
sci.crypt,"Does the Bates method work?  I first heard about it in this newsgroup  several years ago, and I have just got hold of a book, ""How to improve your sight - simple daily drills in relaxation"", by Margaret D. Corbett,  ('Authorized instructor of the Bates method), published in 1953.  It  talks about vision improvement by relaxation and exercise.  Has there been any study on whether this method actually works?  If it works, is it by  actually shortening the previously elongated eyeball, or by increasing  the lens's ability to flatten itself in order to compensate for the  too-long eyeball?  Since myopia is the result of eyeball elongation, seems to me the most logical approach for correction is to find a way to reverse the process, i.e., shorten it somehow (preferably non-surgically).  Has there been any recent studies on this?  Where can I find them?  I know RK works by  changing the curvature of the cornea to compensate for the shape of  eyeball, but if there is a way to train the muscles to shorten the  eyeball back to its correct length that would be even better (Bates's  idea, right?)",0
sci.crypt,"  IMHO, encryption is (also) protected under the SECOND amendment of the Constitution of the United States.    I am not surprised that this administration is doing this. I could have told you so.    Privacy has ALWAYS been something that has the effect of restricting out ability to prosecute criminals.  We are supposed to have the presumption of innocence.  I have the right to pull the curtains over my windows and close my door, and the police may not come in.  If I perform a crim in my home, they will have to find out by means other than simply looking.  Encryption is to my data as the window curtains are to my home. Simple enough?    And yet the people vote for these people because they come out a lie to them about promising to fix things.    You mean they might have to go back to actually WORKING to do their job? Oh heavens.    Perhaps the FIRST amendment.  Definitely the SECOND and FIFTH.    Unfortunately, the vast segments of the population are misinformed. They just haven't appended -SR to the name of out country, yet.    I seriously doubt that the NSA thinks that privacy and surveillance are compatible.  I doubt of any smart person in any other agency thinks so, either.  The PROBLEM is that they simply hold PRIVACY to be of no value at all.",1
sci.crypt,"I have a 3 month old that seems to have acquired the jitters of late.  The 14"" Apple color monitor that I'm using with an LCIII sort of jiggles to the left and right all the time now. I have attempted to relocate the monitor to make sure the problem isn't interference from something else, but the  problem seems to remain no matter what I do.  Has anybody encountered this problem?  Thanks,",0
rec.motorcycles,"  Wow, is that custom made?  I wish I could get chain drive for my slashfive so I _too_ can do wheelies and be real squiddly.  ",1
rec.motorcycles,"FOR SALE  MS-DOS 6.0 UPGRADE  open but unregistered 3.5"" disks  $40 or best offer  Please mail replies to gt7187c@prism.gatech.edu  ",0
sci.med,"A friend was recently admitted to North Carolina Memorial Hospital because of suspected meningitis.  Serious business.  They wanted to do a lumbar puncture, for which a CT scan is a prerequisite.  I arrived in her hospital room about an hour after she had returned from the CT.   She was in tears.  Evidently the technicians in the CT lab had been very unpleasant to her.  To begin with, they put her on the apparatus that moves you into the machine itself, and just pushed a button to slide her straight into the machine, without any explanation.  Imagine this.  You worried you may have a deadly disease, and next thing you know you're being put into this big scary machine, without a word of explanation about what is going to happen to you.  I believe this is inexcusable.   She waved her hand as if to say what are you doing to me, and they responded with annoyance and anger.  Next they inserted, or tried to insert, an IV catheter.  Apparently she has a lot of trouble with these and complained of the pain.  The technician just stopped and fixed her with a glare without any words of explanation.  Is there anything I can do about these pigs ?  I realize that these technicians do this sort of job day in and day out.  And that some patients can be very irritating and uncooperative. But this is simply no excuse.  Their purpose for existing is to help sick people, and there is no excuse for this sort of behavior. Fortunately my friend is fine.  But I imagine a large proportion of the people who get CT scans are not fine at all.  They have cancer and that sort of thing.  They don't need this kind of shit.  Also, since I named the hospital involved, I should also point out that neither she nor I have any complaints about the competence or compassion of any of the other personnel at NCMH.",1
sci.med,"Hey folks.  Is it possible to short out your CMOS chip?  I think mine is fried. These are the symptoms...  I have to do the following to get my computer (a Gateway 486DX33) to boot...      Turn the power off      Disconnect the battery to the CMOS chip      Turn the power on      Get into setup upon getting the CMOS configuration error      Set up the CMOS      Exit the setup with [F10]  (phoenix bios)      Ignore the diskette 0 seek error and press [F1]  The computer then boots normally.  Both hard drives are accessible but the floppy drives are not.  I can back up over the network and such, but if I need to reboot, I have to turn off the computer and repeat the steps above.  If I simply <Ctl>-<Alt>-<Del>, the computer hangs after the memory test.  Does this sound like the CMOS chip is fried?  Can I buy another one? Where?  Thank you for your kind attention.  john",0
rec.autos,Since we're on the subject of brakes.... does anyone know why a 4WD Vauxhall/ Opel disengages drive to the rear wheels when the brakes are applied? Vauxhall boast about how the car is more stable in fwd mode during braking than in 4wd mode.... how is this so?  						...Shaz... ,1
rec.autos,If you think that kind of uncalled for blanket statement will cause censorship at Mr. Jefferson's university you are wrong. ,0
rec.sport.hockey,"It was a classy move.  But it looks like ESPN is going to devote most of the coverage to the Pens.  On Tuesday night, they continued to broadcast the Pen-Devil game even though Pittsburgh had the game well in control. Granted they did show some ""bonus"" coverage of the Caps and Isles but they cut away from the close game, which went into double ot, to update us on the fifth goal of the rout. Thursday was a good game even if it was the second straight game between the pens and devils.  IMHO they should program some variety into the telecasts.(Yes I know the game shown on saturday is between the B's and Sabres, probably throwing a bone to us Bruin fans.) And what about the Cambell conference?  I'd like to see a game in the Norris or Smythe.  Why not have back to back nights of National Hockey Night?  Just a thought.",1
rec.sport.hockey,"------------------------------------------- It's already in the hands of a monopoly of the rich because of capitalism of land. Other than government land, saved for posterity and the eco-system as well as government function, the remaining land is owned by a smaller percentage of the people than ever before. The game of capitalism is almost won. The game has only to be declared over and we will have to take matters into our own hands and redistribute it again fairly, or else be enslaved in return for a place to live. Here in central California, already, fewer than 30% own all the property and 5% of them own 90% of it. That's twice what it was twenty years ago. Rents are so high that you pay 60% of your income for rent. If you just have a McJob, all you can afford is one room, if that. Some 30% of minimum wage workers are homeless. Unless you both have degrees in technical fields and are working in them, (in the midst of 30% unemployment in high tech jobs!), you will never own anything but a used car if you choose to have more than one child!!! And everywhere else you could afford there are no jobs. The only way to get there is to save and not consume any more than you have to, clothing used, food poor. No movies, no entertainment,, ect. for about five to seven years, and then, if you've saved $20,000, if you can get together that much, and that's ignoring your kids and working two jobs, then you can buy a home in Arkansas or Missouri outright and live somewhere where they flood every other year! That's an exaggeration if you pay close attention to the flood lines on other people's houses and find a sturdy hill, then you can buy one up there! Also buy a rowboat. Missouri's not so bad, if you like the sensation of sleeping in a sweatbox in summer and your car freezing solid in winter. They really do put those heaters into the dipstick hole to keep them warm enough to start with ether!:) Shit, kill the rich and redistribute the livable property. Kill all of them! -RSW  --------------------------------------------- The land is simply granted to people who live on it now. Extra is kept for the future. You get to stay where you are without paying rent. Land that supports others becomes property of the state. Farmers are welcome to plant crops that people need according to demand and ability and soil quality. If you want to grow sourgum because you always did, and you aren't doing a good job, then we let another farmer grow sorghum, and you grow something else. When people die the land they were entitled to use goes into the public holdings. No one can sell land, but they can trade places with anybody. No one can lease land. The government will locally distribute the use of the land not used for residences. Residences that are insufficient to the families living there can be traded to the public for a larger house and yard according to need and availability. The local land council who vow to live on their land till death to avoid profit ties will decide fairness subject to review by the state and federal land councils. It will cost no more than any fucking thing costs now with fucking assed rent going down a deep dark hole to the owners! Anyone can submit a request for a larger house or land to start a business on, depending on a valid business plan and community needs. Heavy equipment is subject to seizure for the public good or as needed. Heavy equipment operators are encouraged to keep and maintain their own machine and to operate it at a reasonable salary in service to the community. Companies who own many machines are to be divided among the appropriate equipment operators and the rest to be let to valid operators on a need basis. Cost of upkeep is charged. A guild of heavy machine operators is recognized for safety and training's sake. Their council is a subcouncil to the community council. Etc. Etc. Etc. It isn't so hard to think of a better system than we have. All you have to do is realize that the system we have now is not sacrosanct, in fact it's a rigged game that steals you blind and is the most unfair any system could be already!!!!!!!! The trick is to realize that the old rich have been making the rules behind your back and that it's time to kick them off the merry-go-round. Tax the rich to death. They are the ones that converted your 60's school lunch program into the joke it is today. They are the ones who always cut education. They are the ones who always raise the rent when you get a raise. They are the ones who should be not just dislodged but killed for their abuse. I have trouble justifying the death penalty for a poor kid who killed and didn't know why not. I have no trouble justifying the death penalty for the rich who steal countless human lives to feed their greed! Have you paid rent most of your life? Then you have been enslaved, percentage wise, most of your life. We used to be serfs. Now we are called renters, and we are still enslaved to somebody who claims to own land they don't use and make us pay them for it when they did nothing to own it. Most rents in California are enough to buy the apartment house, paynthe taxes and the insurance and have a little left over to travel with! I have seen the books! I know what my landlord pays and to whom! I know what I pay her. I am being forced to buy her a building and then I will be let out at the other end with nothing, when I had as much right as her to live on this planet! And her child will have the money to likewise enslave my child. I hope I find out when I am going to die. I can make things just a little happier form me to be able to destroy her life as she destroyed mine. And maybe I can take a few other landlords with me, and their heirs. That would be worth it. Then to be able to die before they can do anything to me. That's a poor man's dream. Sleep tight, bastard landlords. You don't know the trouble you are buying yourself as you sleep on my heirs money in your mattress! -RSW ",0
