doc_id,text,label
11,"yep, that's pretty much it. i'm not a jew but i understand that this is the jewish way of thinking. however, the jews believe that the covenant between yhwh and the patriarchs (abraham and moses, in this case) establishes a moral code to follow for mankind. even the jews could not decide where the boundaries fall, though. as i understand it, the sadducees believed that the torah was all that was required, whereas the pharisees (the ancestors of modern judaism) believed that the torah was available for interpretation to lead to an understanding of the required morality in all its nuances (->talmud). the essence of all of this is that biblical morality is an interface between man and yhwh (for a jew or christian) and does not necessarily indicate anything about yhwh outside of that relationship (although one can speculate). the trouble with all of this is that we don't really know what the ""created in his image"" means. i've heard a number of different opinions on this and have still not come to any conclusion. this rather upsets the apple cart if one wants to base a life script on this shaky foundation (to mix metaphors unashamedly!) as to living by christ's example, we know very little about jesus as a person. we only have his recorded utterances in a set of narratives by his followers, and some very small references from comtemporary historians. revelation aside, one can only ""know"" christ second-hand or worse. this is not an attempt to debunk christianity (although it may seem that way initially), the point i`m trying to make is that we only really have the bible to interpret, and that interpretation is by humanity. i guess this is where faith or relevation comes in with all its inherent subjectiveness. no. there may be an absolute moral code. there are undoubtably multiple moral codes. the multiple moral codes may be founded in the absolute moral code. as an example, a parent may tell a child never to swear, and the child may assume that the parent never swears simply because the parent has told the child that it is ""wrong"". now, the parent may swear like a trooper in the pub or bar (where there are no children). the ""wrongness"" here is if the child disobeys the parent. the parent may feel that it is ""inappropriate"" to swear in front of children but may be quite happy to swear in front of animals. the analogy does not quite hold water because the child knows that he is of the same type as the parent (and may be a parent later in life) but you get the gist of it? incidentally, the young child considers the directive as absolute until he gets older (see piaget) and learns a morality of his own. david. --- on religion:",19
12,--,4
13,"{description of ""external tank"" option for ssf redesign deleted} yo ken, let's keep on-top of things! both the ""external tank"" and ""wingless orbiter"" options have been deleted from the ssf redesign options list. today's (4/23) edition of the new york times reports that o'connor told the panel that some redesign proposals have been dropped, such as using the ""giant external fuel tanks used in launching space shuttles,"" and building a ""station around an existing space shuttle with its wings and tail removed."" currently, there are three options being considered, as presented to the advisory panel meeting yesterday (and as reported in today's times). option ""a"" - low cost modular approach this option is being studied by a team from msfc. {as an aside, there are ssf redesign teams at msfc, jsc, and larc supporting the srt (station redesign team) in crystal city. both lerc and reston folks are also on-site at these locations, helping the respective teams with their redesign activities.} key features of this option are: - uses ""bus-1"", a modular bus developed by lockheed that's qualified for sts and elv's. the bus provides propulsion, gn&c communications, & data management. lockheed developed this for the air force. - a ""power station capability"" is obtained in 3 shuttle flights. ssf solar arrays are used to provide 20 kw of power. the vehicle flies in an ""arrow mode"" to optimize the microgravity environment. shuttle/spacelab missions would utilize the vehilce as a power source for 30 day missions. - human tended capability (as opposed to the old ssf sexist term of man-tended capability) is achieved by the addition of the us common module. this is a modified version of the existing ssf lab module (docking ports are added for the international partners' labs, taking the place of the nodes on ssf). the shuttle can be docked to the station for 60 day missions. the orbiter would provide crew habitability & eva capability. - international human tended. add the nasda & esa modules, and add another 20 kw of power - permanent human presence capability. add a 3rd power module, the u.s. habitation module, and an acrv (assured crew return vehicle). option ""b"" - space station freedom derived the option ""b"" team is based at larc, and is lead by mike griffin. this option looks alot like the existing ssf design, which we have all come to know and love :) this option assumes a lightweight external tank is available for use on all ssf assembly flights (so does option ""a""). also, the number of flights is computed for a 51.6 inclination orbit, for both options ""a"" and ""b"". the build-up occurs in six phases: - initial research capability reached after 3 flights. power is transferred from the vehicle to the orbiter/spacelab, when it visits. - man-tended capability (griffin has not yet adopted non-sexist language) is achieved after 8 flights. the u.s. lab is deployed, and 1 solar power module provides 20 kw of power. - permanent human presence capability occurs after 10 flights, by keeping one orbiter on-orbit to use as an acrv (so sometimes there would be two orbiters on-orbit - the acrv, and the second one that comes up for logistics & re-supply). - a ""two fault tolerance capability"" is achieved after 14 flights, with the addition of a 2nd power module, another thermal control system radiator, and more propulsion modules. - after 20 flights, the internationals are on-board. more power, the habitation module, and an acrv are added to finish the assembly in 24 flights. most of the systems currently on ssf are used as-is in this option, with the exception of the data management system, which has major changes.",14
14,"reduced prices! i have a list of things forsale on behalf of my brother, who's moving (moved already) offer: 1) black and decker duster plus (portable hand vaccum) purchased for $32, $12 2) sr-1000 dual cassette portable player, am/fm 5-band graphics equalizer, high speed dubing, duo tape.tape deck a, seems to have lost treble sound. but, i bet it's fixable. purchased for $80 $25 3)monolux zoom microscope, up to 1200x magnification made in japan, includes case and accessories purchased for $50 $20 4)sunbeam 1400 hair dryer, the dryer you put your head under/into. you know, the ones you see in the salons. (don't ask me why my bro had it) purchased for $60 $24 5)everylast speed bag, all leather. brand new, never used $10 6)osterizer pusle matic blender, with 10 speeds and a cookbook, 5 years old $10 purchased for $50 8)binolux binoculars . 7x35, extra wide angle 525ft. at 1000yds. with case. very new. $20 9)proctor and silex spray,steam and dry iron. very new. $10 any questions, contact me thru e-mail and i will reply expeditously and always, s+h are not included, so please consider this. and lastly, i'm a very reasonable.very reasonable.",6
15,"don't be so sure. look what happened to japanese citizens in the us during world war ii. if you're prepared to say ""let's round these people up and stick them in a concentration camp without trial"", it's only a short step to gassing them without trial. after all, it seems that the nazis originally only intended to imprison the jews; the final solution was dreamt up partly because they couldn't afford to run the camps because of the devastation caused by goering's total war. those who weren't gassed generally died of malnutrition or disease.",0
16,"i certainly do use it whenever i have to do tiff, and it usually works very well. that's not my point. i'm >philosophically< opposed to it because of its complexity. this complexity has led to some programs' poor tiff writers making some very bizarre files, other programs' inability to load tiff images (though they'll save them, of course), and a general inability to interchange images between different environments despite the fact they all think they understand tiff. as the saying goes, ""it's not me i'm worried about- it's all the abuse of tiff over the years, and i chalk it all up to the immense (and unnecessary) complexity of the format. in the words of the tiff 5.0 spec, appendix g, page g-1 (capitalized emphasis mine): ""the only problem with this sort of success is that tiff was designed to be powerful and flexible, at the expense of simplicity. it takes a fair amount of effort to handle all the options currently defined in this specification (probably no application does a complete job), and that is currently the only way you can be >sure< that you will be able to import any tiff image, since there are so many image-generating applications out there now."" if a program (or worse all applications) can't read >every< tiff image, that means there are some it won't- some that i might have to deal with. why would i want my images to be trapped in that format? i don't and neither should anyone who agrees with my reasoning- not that anyone does, of course! :-)",1
17,"i recently posted an article asking what kind of rates single, male drivers under 25 yrs old were paying on performance cars. here's a summary of the replies i received. ------------------------------------------------------------------------------- i'm not under 25 anymore (but is 27 close enough). 1992 dodge stealth rt/twin turbo (300hp model). no tickets, no accidents, own a house, have taken defensive driving 1, airbag, abs, security alarm, single. $1500/year $500 decut. state farm insurance (this includes the additional $100 for the $1,000,000 umbrella policy over my car and house) the base policy is the standard $100,000 - $100,000 - $300,000 policy required in de. after 2nd defensive driving course it will be 5% less. i bought the car in september 1992. the company i was with (never had and accident or ticket in 11 years) quoted me $2,500. hope this helps. steve flynn university of delaware ======================================================================== 45 kevin: (hope i remembered your name correctly)... you asked about insurance for performance cars. well, last year i was in a similar situation before i bought my car, and made the same inquiry as you. age: 24 (then and now) car: 1992 eagle talon tsi awd driving record: clean state: illinois cost: $820/6 mos. i turn 25 in may and the insurance goes down to $520/6 mos. also, i'm single and that incurs a higher rate with my company. i've got a couple other friends w/ awds and they pay more than i do (different ins. companies also), so maybe i'm just lucky. hope the info helps. dan [dans@jdc.gss.mot.com] motorola cellular subscriber group ======================================================================== 38 usa cc: i'm 23; live in norman, oklahoma; drive an '89 thunderbird sc; have never made a claim against my insurance (though i have been hit several times by negligent drivers who couldn't see stop signs or were fiddling with their radios); and i have had three moving violations in the last 18 months (one for going 85 in a 55; one for ""failure to clear an intersection"" (i still say the damn light was yellow); and one for going 35 in a 25 (which didn't go on my record)). my rates from state farm (with a passive restraint deduction) on liability, $500 deductible comprehensive, and $500 deductible collision are roughly $1300/year. (i was paying just over $1100/year for a '92 escort lx.) james james p. callison microcomputer coordinator, u of oklahoma law center callison@uokmax.ecn.uoknor.edu /\ callison@aardvark.ucs.uoknor.edu disclaimer: i'm not an engineer, but i play one at work... the forecast calls for thunder...'89 t-bird sc ""it's a hell of a thing, killing a man. you take away all he has and all he's ever gonna have."" --will munny, ""unforgiven"" ======================================================================== 61 i am beyond the ""under 25"" age group, but i have an experience a few years ago that might be interesting to you. i owned a 1985 toyota celica gt. i decided to buy myself a gift - a more exotic car. front runners included the toyota supra turbo and the porsche 924 (1987 model years). i narrowed it down to those two. i liked the simplicity and handling (and snob appeal, too) of driving a porsche. the supra turbo was less money and had more features and performance - almost a personal luxury car. it had better acceleration and a higher top speed than the 924. i was almost ready to give in to a buying impulse for the 924, but i decided to stop by my insurance agent's office on the way. i asked about what would happen to my rate with either car. ""if you buy the supra, your rate classification will be the same as the celica (the '85 celica was considered a subcompact and for that year was rated as one of the safest cars), with a slight increase because the car will be 2 years newer. our lower-risk division will continue to handle your account. ""if you buy the porsche 924, we'll have to change you to the standard [higher] rate company and your rate will double. and if you go with a 944, it's another story again - we'll cover the rest of this year, but cancel you after that."" ""but the supra is much faster than the 924, and the 924 is actually faster than the [standard] 944. that doens't make sense."" that's what the book says. we don't insure corvettes, either. for some reason, the underwriters consider supras - and their drivers - as very traditional and conservative."" i eventually went with the supra for a number of reasons. the porsche dealer had a nice salesman to get me interested, but a tough high-pressure guy in the back room. at equal monthly payments, it would have taken a year longer to pay for the porsche, plus its higher insurance. i concluded that the high insurance was related to probability of auto theft. /|/| /||)|/ /~ /\| |\|)[~|)/~ | everyone's entitled to my opinion. / | |/ ||\|\ \_|\/|_|/|)[_|\\_| | goldberg@oasys.dt.navy.mil ========imagination is more important than knowledge. - albert einstein======= ======================================================================== 32 i live in idaho. when i was <26 many years ago (10 years) i bought a trans am (new). insurance was about $1300/year. when i turned 26, it immediately dropped to $460/year. i had not had any accidents before or after, this was strictly an age change. that same rate stayed pretty much the same until i sold the car 2 years ago. my f-150 pickup is about $80/year less. the real amazing thing is that when i woke up at age 25, i felt so much more responsible than i was before... :-) wes ======================================================================== 21 for your information: california male, single, under 25 , no moving violation alfa spider =======> $2000 / year what a bargain!!! ======================================================================== 28 let's see, i'm 24, single, male, clean driving record. i have a 92 vw corrado vr6. i live in san jose, california. i pay ~1500$ a year through allstate. a good deal if you ask me. i was thinking about getting a talon, but i think the insurance is higher for a ""turbo"" sports car vs a v6 -w ======================================================================== 27 1986 honda crx si, clean record, in a small new mexico town was around $800 per year, age 24. nearby city rates were 1.5x-2x higher than where i've got mine insured. ..robert -- robert stack / institute of transportation studies, univ of california-irvine stack@translab.its.uci.edu '92 mazda protege lx ======================================================================== 37 1300 per year, 1992 saturn sc, 21 years old, state: new mexico, insurance: state farm. ======================================================================== 64 here is my info: car : '89 toyota celica st insurance co : farmer's insurance yearly insurance: $2028 age : 24 date of license : oct 14, 1992 residence : mountain view, california no moving violations (for now atleast ;-) hope this helps. please post a summary if possible. vijay ********************************************************************** vijay anisetti email: anisetti@informix.com apt: (415)962-0320 off: (415)926-6547 ======================================================================== 38 single, 24 years old, eagle talon turbo awd, $1200 (full-cover, reasonable liability) no tickets, no violations, no accidents... (knock on wood...) mass, one thing that makes a huge difference in mass is the town you live in. i'm personally in one of the best towns within reasonable distance of boston. if i moved to the absolute best it would go down to about $1150, if i moved to the worst it would be $2000+.. also one accident and a couple of tickets, would probably add another $600... _rv ======================================================================== 43 i have a 1990 mitsubishi eclipse turbo awd, am 23 years old and have no tickets that went on my record. i live in illinois just outside of chicago and pay $1560 a year with full coverage at state farm. i did get a small discount because of my alarm system($30 a year). i only live 15 miles from chicago but if i actually lived in the city the price would be about $2000 a year. ======================================================================== 41 i'm over 25, but in case you're interested anyway, i'm insuring a 93 sho for $287/6 month. thats 100k personal+300k total+100k property with 250 deductible, glass and towing, state farm. ======================================================================== 39 unless you are under 20 or have been driving for less than 5 years, i think you are being seriously ripped off. i don't have one of the performance cars you listed, but if your record is clean, then you should not be paying over $2k. did you try calling all the insurance dealers you could find? although rates are supposed to be standardized, i've found that most places i initially call, give me some ridiculously high quote and *finaly*, i hit one that is much lower. also, i have changed insurance companies when the rate went up at renewal (no accidents, tickets, car gets older??) to maintain a low rate. you always have to be careful when it comes to insurance companies 8^).",7
18,"i would like to be able to amplify a voltage signal which is output from a thermocouple, preferably by a factor of 100 or 1000 ---- so that the resulting voltage can be fed more easily into a personal-computer-based adc data acquisition card. might anyone be able to point me to references to such circuits? i have seen simple amplifier circuits before, but i am not sure how well they work in practice. in this case, i'd like something which will amplify sufficiently ""nicely"" to be used for thermocouples (say, a few degrees accuracy or better).",12
19,"question: what is the exact entry (parameter and syntax please), in the x-terminal configuration file (loaded when the x-terminal boots), to add another system to the tcp/ip access control list? background: i have two unix systems, 1. an at&t 3b2 running x11r3 and mit's x11r4 and 2. a sun ss10 without any x. i want to have a window to the sun and the 3b2 on the ncd x-terminal at the same time. i can do this if i manually set the network parameter tcp/ip access control list to off, then login to my telnet session. not great! i've tried to get ""xhost"" to work and failed. either my syntax is wrong or the x11r3 implementation is bogus. i am trying to edit the ncd configuration file that is loaded when the ncd boots. no matter what entry i add or edit, the ncd still boots with the tcp/ip access control list containing only the 3b2. my manuals are worthless so any help would be most appreciated!! thanks!",5
20,"[...] these don't seem like ""little things"" to me. at least, they are orders worse than the motto. do you think that the motto is a ""little thing"" that will lead to worse things?",0
21,"i think that mike foligno was the captain of the sabres when he got traded to the leafs. also, wasn't rick vaive the captain of the leafs when he got traded to chicago (with steve thomas for ed olcyzk and someone). speaking of the leafs, i believe that darryl sittler was their captain (he'd torn the ""c"" off his jersey but i think he re-claimed the captaincy later on) when he was traded to the flyers. oh yeah, of course, gretzky was the captain of the oilers before he was traded wasn't he?",10
22,")>> ""the catalog of personal computing tools for engineers and scien- )>> tists"" lists hardware cards and application software packages for )>> pc/xt/at/ps/2 class machines. focus is on engineering and scien- )>> tific applications of pcs, such as data acquisition/control, )>> design automation, and data analysis and presentation. )>> if you would like a free copy, reply with your (u. s. postal) )>> mailing address. i have a copy of this catalog in front of me as i write this. it does have tons of qool stuff in it. my impression is that they try not to send it out to ""browsers"". it appears that if your not a buyer or an engineer they do not want to waste a catalog on you. when you get a catalog there's a ""vip code"" you have to give them ""to ensure your continued subscription."". anyway, if you want to get in touch with them, the company is personal computing tools 550 division street campbell, ca 95008 (408) 378-8400 (they also have fax #'s and toll free #'s for ordering and tech support)",6
23,"the control box of the window itself (upper left corner of the window, single click, am i being too simplistic?) has a font option. the 8 x 12 is about the biggest one i can use without the characters turning funky.",2
24,"i don't know about the specific problem mentioned in your message, but i definitely had scsi problems between my q700 and my venerable jasmine megadrive 10 cartridge drives. my solution was to get silverlining. none of the loops that involved blind writes worked to the drives; in fact the only loop that worked was the ""macintosh software"" loop (whatever that means).",4
25,"hello, i am looking to add voice input capability to a user interface i am developing on an hp730 (unix) workstation. i would greatly appreciate information anyone would care to offer about voice input systems that are easily accessible from the unix environment. the names or adresses of applicable vendors, as well as any experiences you have had with specific systems, would be very helpful. please respond via email; i will post a summary if there is sufficient interest. thanks, ken p.s. i have found several impressive systems for ibm pc's, but i would like to avoid the hassle of purchasing and maintaining a separate pc if at all possible. ------------------------------------------------------------------------------- ken hinckley (kph2q@virginia.edu) university of virginia neurosurgical visualization laboratory",1
26,"actually, fossil fuel plants run hotter than the usual boiling-water reactor nuclear plants. (there's a gripe in the industry that nuclear power uses 1900 vintage steam technology). so it's more important in nuclear plants to get the cold end of the system as cold as possible. hence big cooling towers. oil and gas fired steam plants also have condensers, but they usually are sized to get the steam back into hot water, not most of the way down to ambient. some plants do cool the condensers with water, rather than air; as one canadian official, asked about ""thermal pollution"" de-icing a river, said, ""up here, we view heat as a resource"". everybody runs closed-cycle boilers. the water used is purified of solids, which otherwise crud up the boiler plumbing when the water boils. purifying water for boiler use is a bigger job than cooling it, so the boiler water is recycled.",12
27,doug roberts - ken hill for nl mvp!! let's go 'spos,9
28,"yes. (i am adamantly an environmentalist. i will not use styrofoam table service. please keep that in mind as you read this post - i do not wish to attack environmentalism) a half truth is at least as dangerous as a complete lie. a complete lie will rarely be readily accepted, while a half truth (the lie subtly hidden) is more powerfully offered by one who masquerades as an angel of light. satan has (for some people) loosened the grip on treating the earth as something other than god's intricate handiwork, something other than that on which the health of future generations is based. it is being treated with respect. you think he's going to happily leave it at that? no. when one error is rejected, it is his style to push people to the opposite error. therefore the earth is not god's intricate handiwork, not because it is rubbish, but because it is god. mother earth is the one you are to primarily love and serve. i see two facets of a response to it: 1: care for the environment. treat it with proper respect, both because it is god's intricate handiwork and the health of future generation, and because showing the facet of one who is disregardful of such things does not constitute what the apostle paul called ""becoming all things to all men so that by all possible means i might save some."" don't say ""forget the environment, i've got important things to spend my time on."" - putting your foot in your mouth in this manner will destroy your credibility in expressing the things that _are_ more important. 2: show that it is not the ultimate entity, that it is creature and not creator. show that its beauty and glory points to a greater beauty and glory. show that it is not the ultimate tapestry, but one of many cords woven in the infinite tapestry.",15
29,"it depends on your priorities. a lot of people put higher priorities on gas mileage and cost than on safety, buying ""unsafe"" econoboxes instead of volvos. i personally take a middle ground -- the only thing i really look for is a three-point seatbelt and 5+mph bumpers. i figure that 30mph collisions into brick walls aren't common enough for me to spend that much extra money for protection, but there are lots of low-speed collisions that do worry me.",7
30,"the front covers should be available from sony. check with a local car stereo shop. you will probably (definitely) have to provide the units serial number and hopefully you had registered the warranty card. i don't know the cost, but replacements have to be available to people who damage the face cover, so it stands to reason that it can be replaced. as to deterring theft: when i worked for a stereo shop, we referred the customer to a sony 800 number. we would not sell the face, nor did we have them available. most people who came in asking for the face cover (or a pullout sleave for that matter) would look very disheartened to find that they acquired a deck they couldn't use. if theft occurs with these decks, notify sony. serial numbers do catch theives.",6
31,"my 14-y-o son has the usual teenage spotty chin and greasy nose. i bought him clearasil face wash and ointment. i think that is probably enough, along with the usual good diet. however, he is on at me to get some product called dalacin t, which used to be a doctor's-prescription only treatment but is not available over the chemist's counter. i have asked a couple of pharmacists who say either his acne is not severe enough for dalacin t, or that clearasil is ok. i had the odd spots as a teenager, nothing serious. his father was the same, so i don't figure his acne is going to escalate into something disfiguring. but i know kids are senstitive about their appearance. i am wary because a neighbour's son had this wierd malady that was eventually put down to an overdose of vitamin a from acne treatment. i want to help - but with appropriate treatment. my son also has some scaliness around the hairline on his scalp. sort of teenage cradle cap. any pointers/advice on this? we have tried a couple of anti dandruff shampoos and some of these are inclined to make the condition worse, not better. shall i bury the kid till he's 21 :)",13
32,just as a not of possible interest on this subject .. it is my understanding that exploding televisions were a major cause of domestic accidents in the soviet union in past years!,12
33,"how do you define war? do seiges and constant attacks on villiages count as acts of war, or is that only when the jews do them? january, 1948: arab liberation army attacks kfar szold 1000 men attack kfar etzion, 14 miles south of jerusalem, after cutting off the supply lines to it. attacks on yehiam (western galilee) and kibbutz tirat tzvi. by mid-march, the jewish settlements in the negev had been cut off from land links with the rest of the jewish population. the etzion group of villiages, near hebron, had been cut off, while 42 members of a convoy trying to supply yehiam were slaughtered, cutting off the villiage. jerusalem was under seige, being cut off from its supply route from tel aviv (the bombed out supply trucks have been left on the side of that road to this day in memoriam). by this time, 1200 jews had been killed. of course, this isn't war, since it's only the arabs attacking. just like last week when the fatah launched katyusha rockets against northern israel. where does uprising end and war begin? will it still be 'intifadah' when the plo brings in tanks?",17
34,"once again, it appears that the one-eyed man has appeared in the land of the sighted and for some strange resaon has appointed himself the ruler and supreme power.",18
35,"funny you should mention this; one time on hnic don cherry pointed out vanbiesbrouck's mask. he _hated_ it. i think he said something to the effect of: ""you see? he was great last year; now he goes out and gets that dopey mask and he can't stop a beachball!"" you may or may not take cherry seriously at all, but i cracked up when i heard it.",10
36,"oh boy, a little k-bike versus /2 scuffling? grow up! and that goes for the both of you! i do hope that the ""dump dempster"" campaign works however. i think that he is a crook, and i am suprised that it has taken this long for anything to be done (though obviously, it ain't over yet) on the other hand, i'm not sure that i want to be in bed with any of the wackos running. throwing $20.oo down a rathole might be more effective than sending it in to the club. you wouldn't get anything, but you don't get anything now. the magazine you say? ever since the moa politburo installed don it has lacked any sort of panache it may have had. ah, but what would i know? i own a /6 and a k-bike",8
37,"i agree with this assessment. furthermore, its promotion as providing greater protection than bare voice is quite true, as far as it goes. however, the only way for it to fulfill its stated goal of letting le wiretap ""terrorists and drug dealers"" is to restrict stronger techniques. wiretap targets presently use strong encryption, weak encryption, or (the vast majority) no encryption. the latter two classes can be tapped. with weak encryption in every phone, the no-encryption class is merged into the weak-encryption class. will the introduction of clipper cause targets presently enjoying strong privacy to give up on it? that is, to rely for privacy on a system expressly designed to deny it to people like them? i doubt it. the mere introduction of this scheme will give the government *nothing*. the stated goal of preventing the degradation of wiretapping capabilities can be fulfilled by restriction of domestic cryptography, and only by this restriction. ""clipper"" appears to be no more than a sop, given to the public to mute any complaints. we would find this a grossly inadequate tradeoff, but i fear the public at large will not care. i hate to even mention gun control, but most people seem to think that an `assault weapon' (as the nyt uses the word) is some sort of automatic weapon, .50 caliber maybe. who wants to have such a thing legal? well, people know even less about cryptology; i suspect that strong cryptography could easily be labeled ""too much secrecy for law-abiding citizens to need"". what they say is opinion, but what they do is what matters, and will continue unless overturned. and the courts are reluctant to annul law or regulation, going to some length to decide cases on other grounds. furthermore, congress can get away with quite a bit. they could levy a burdensome tax; this would place enforcement in the hands of the batf, who as we've seen you really don't want on your case. they could invoke the commerce clause; this seems most likely. this clause will get you anywhere these days. the 18th was required because the supreme court ruled a prohibitory statute unconstitutional. in 1970 congress prohibited many drugs, with a textual nod to the commerce clause. the controlled substances act of 1970 still stands. i think the government could get away with it.",11
38,"the word is ""subrogation."" seems to me, if you're willing to wait for the money from scumbag's insurance, that you save having to pay the deductible. however, if scumbag's insurance is scum insurance, then you may have to pay the deductible to get your insurance co.'s pack of rabid, large- fanged lawyers to recover the damages from scum insurance's lawyers. sad, but true. call it job security for lawyers. later,",8
